s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
123.1573	118.3534	112.8242	128.2093	121.8227	116.2879	120.8282	125.9252	115.552	121.902	118.2731	118.0137	123.3367	124.4038	112.0266	114.9161	112.4672	113.9294	116.5943	115.7225	117.179	123.9395	113.0188	118.3117	113.4118	118.551	110.3519	114.1415	114.4279	113.7797	115.6487	113.5177	114.1176	109.8129	119.3519	106.6238	115.0851	114.2016	114.5953	114.669	0.221352100372
123.2101	118.4007	112.7068	128.4432	121.6462	116.3355	121.1093	125.9252	115.4376	121.8356	118.3375	118.1287	123.3367	123.982	112.0822	114.9705	112.3517	113.8216	116.4054	115.7225	117.2959	124.0517	113.1842	118.3117	113.4118	118.4975	110.1932	114.0695	114.6555	113.6679	115.7106	113.5177	114.1176	109.7638	119.3519	106.6665	115.1306	114.2542	114.6482	114.4452	0.235220193863
123.1573	118.5171	113.0455	128.2093	121.8123	116.2879	120.9925	125.9252	115.4376	121.8356	118.1579	118.0617	123.5245	124.1068	111.727	114.8617	112.5826	114.0482	116.4054	115.7225	117.2431	124.1087	113.0188	118.3117	113.5317	118.4975	110.1932	114.1415	114.4897	113.8915	115.7106	113.5177	113.8198	109.8348	119.4939	106.7091	115.1761	114.3186	114.6482	114.4452	0.248994112015
123.2101	118.4007	112.9936	128.2664	121.7085	116.4002	120.9925	125.8058	115.552	121.902	118.3884	118.1767	123.5743	124.1068	112.0822	114.9161	112.3517	113.8755	116.4556	115.7225	117.062	123.9964	113.1326	118.3117	113.5317	118.6661	110.307	114.1415	114.4279	113.8915	115.7106	113.5177	114.1176	109.933	119.4939	106.5114	115.1761	114.3069	114.6482	114.5041	0.262781143188
123.2101	118.4007	112.8242	128.1495	121.8746	116.4002	120.9925	125.9778	115.4922	121.8356	118.1071	118.1287	123.4058	124.0444	111.96	114.9705	112.4219	113.9294	116.5753	115.7225	117.2431	124.0517	113.0188	118.0174	113.5317	118.6661	110.307	114.2748	114.5417	113.7797	115.7106	113.6358	113.8896	109.5946	119.3239	106.7517	115.0851	114.2542	114.5953	114.3923	0.276463031769
123.2101	118.4007	112.7586	128.2066	121.8227	116.5125	120.8758	125.9252	115.552	121.902	118.1071	118.1287	123.4058	124.0444	112.0822	114.8617	112.3065	113.8216	116.4556	115.6757	117.1148	124.0517	113.0188	118.1936	113.5317	118.6125	110.1932	113.9087	114.6555	113.731	115.761	113.6358	114.0036	109.5946	119.3519	106.5114	115.2463	114.2016	114.4761	114.3923	0.290463209152
123.2101	118.4007	112.9279	128.2093	121.8227	116.5602	120.8758	125.9778	115.552	121.8356	117.9413	118.0617	123.5743	124.224	111.96	114.9161	112.3065	113.9943	116.4556	115.7693	117.0093	123.8272	113.1842	118.2535	113.5317	118.6661	110.3519	114.2303	114.4279	113.6679	115.7106	113.5177	113.9339	109.9548	119.4939	106.5539	115.2463	114.3186	114.6482	114.4452	0.304316997528
123.2101	118.4007	112.8761	128.4432	121.7085	116.4479	121.0402	125.9778	115.552	121.8356	118.1071	118.0137	123.5743	124.1068	111.8379	115.0322	112.5826	113.9403	116.5058	115.5158	117.1148	123.9964	113.298	118.3117	113.5317	118.6661	110.1932	114.1859	114.4897	113.8428	115.5984	113.5177	114.0036	109.7147	119.4466	106.5539	115.1761	114.2016	114.6482	114.3923	0.317865133286
123.3253	118.4007	112.7068	128.3262	121.8227	116.2879	120.8758	125.8584	115.552	121.7811	118.2223	117.9657	123.6931	123.9272	111.96	115.1411	112.4672	113.649	116.4747	115.7225	117.2959	124.0517	113.4119	118.3117	113.5869	118.4975	110.307	114.2303	114.6555	113.731	115.761	113.6358	114.1619	109.8839	119.3519	106.5114	115.2918	114.2016	114.7012	114.4452	0.33177113533
123.3783	118.3534	113.0455	128.1495	121.5944	116.3355	120.8758	125.9778	115.4376	121.8356	118.2223	118.1287	123.5743	123.9896	112.3264	115.0867	112.3065	113.8216	116.4556	115.6757	117.062	123.9395	113.2464	118.3117	113.5317	118.551	110.307	114.1583	114.5417	113.8284	115.761	113.569	114.0036	109.8839	119.4939	106.5965	115.2918	114.3186	114.7012	114.4452	0.345621109009
