s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39
125.2143	119.9409	113.5678	130.6697	124.0881	117.0097	121.3428	126.6945	116.0094	123.7051	118.3884	118.3105	123.8807	124.5757	112.6263	115.1411	112.0757	113.9943	116.5943	115.8357	116.8924	123.4339	113.0188	117.8993	113.5869	117.9227	109.6238	113.6759	114.2003	113.6193	114.5502	112.538	112.9339	109.2344	118.7106	106.5812	114.1152	113.4473	113.7608	114.0039
125.4988	120.0575	113.5678	130.7305	124.0353	117.0097	121.4384	126.7475	116.1191	123.7051	118.5036	118.4067	123.9306	124.6383	112.5706	114.8617	111.9152	114.0482	116.5753	115.8357	116.8924	123.4339	113.0188	117.7812	113.5317	117.7545	109.693	113.6317	114.1484	113.5075	114.488	112.5889	113.0479	109.1855	118.6636	106.6936	114.2307	113.4996	113.7082	114.1157
125.3297	119.8244	113.5678	130.5527	124.0881	117.0097	121.3428	126.867	116.1786	123.7051	118.5036	118.3586	123.9306	124.8728	112.6263	114.9161	111.9603	114.0482	116.8145	115.8357	116.9451	123.3771	113.0188	118.0755	113.5317	117.6927	109.6483	113.7923	114.3141	113.5706	114.6501	112.6909	113.004	109.1855	118.6636	106.5812	114.2307	113.4473	113.7608	114.0039
125.2143	119.9409	113.5678	130.6697	124.2024	117.0576	121.3906	126.6945	115.8902	123.4631	118.3375	118.3586	123.9306	124.7474	112.5706	115.0322	111.9152	113.9403	116.9342	115.8357	116.8924	123.3217	113.0188	117.8993	113.5317	117.7545	109.7621	113.6759	114.2003	113.4589	114.6002	112.5889	113.0479	109.1855	118.7106	106.5812	114.2307	113.4473	113.7608	114.0039
125.6141	119.8453	113.6854	130.5527	124.0353	116.9452	121.3428	126.7475	116.0094	123.7051	118.5036	118.3105	123.8807	124.8728	112.4485	114.9161	111.9152	114.059	116.8145	115.9489	116.7755	123.5474	113.1842	117.8993	113.5869	117.6927	109.5792	113.6317	114.2003	113.5706	114.5878	112.5889	113.2058	109.1855	118.7862	106.5812	114.2307	113.3949	113.6416	114.0039
125.3297	119.9409	113.4501	130.5527	124.3781	117.0576	121.3906	126.761	116.1191	123.7051	118.5036	118.3586	123.8807	124.8101	112.5706	115.0322	112.0757	113.9403	116.8145	115.8357	116.8924	123.4339	113.0703	117.9574	113.642	117.7545	109.6483	113.6759	114.2622	113.5075	114.7624	112.5889	113.2058	109.0655	118.6166	106.6936	114.1152	113.4473	113.7608	114.0039
125.3834	120.0096	113.6719	130.6697	124.0353	117.0576	121.4384	126.6416	115.9498	123.7051	118.5036	118.0806	123.762	124.5757	112.5706	115.1411	112.1209	113.8864	116.8145	115.8357	116.7755	123.4339	113.0188	117.8393	113.5869	117.7545	109.6483	113.6759	114.2622	113.5075	114.7001	112.6399	113.1618	109.0655	118.6166	106.5812	114.2307	113.1611	113.6416	114.1157
125.3834	119.9409	113.6854	130.5527	124.2024	117.0097	121.4384	126.7475	116.0046	123.7051	118.4527	118.3105	123.6931	124.5757	112.6263	114.9777	112.0757	114.0482	116.6949	115.9489	116.8924	123.2662	113.0703	117.9574	113.5869	117.7012	109.8068	113.5596	114.2622	113.4589	114.6002	112.6399	113.0918	109.1855	118.6636	106.6936	114.1603	113.2656	113.6416	114.1685
125.3834	119.8931	113.5678	130.6697	124.0881	117.0576	121.3906	126.6416	116.0642	123.7051	118.5036	118.3586	123.6432	124.6383	112.5706	114.9777	112.0757	113.9403	116.6949	115.8357	116.8924	123.2095	113.0188	117.9574	113.5869	117.6927	109.8068	113.5596	114.2622	113.5075	114.6624	112.5889	113.0918	109.0655	118.6636	106.7363	114.3463	113.3949	113.7608	114.0039
125.3297	119.9409	113.5678	130.8476	124.0881	117.0097	121.3428	126.6416	116.0094	123.5841	118.5036	118.3105	123.9306	124.6303	112.6263	114.8617	111.9603	114.113	116.6949	115.8357	116.8282	123.4906	113.0188	117.8393	113.5869	117.7545	109.7377	113.7202	114.2622	113.6193	114.7124	112.5889	113.0479	109.1855	118.6166	106.5812	114.2307	113.4473	113.7608	114.1157
