s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
125.445	119.9409	113.7375	131.255	123.2879	117.0097	121.5763	126.814	116.4624	122.6822	118.3375	118.3586	123.6931	124.9901	111.8934	114.7456	112.0054	113.9294	116.5753	115.8357	116.6587	123.2095	112.7912	117.7812	113.5869	117.6395	109.5792	113.2827	113.8072	113.284	114.2636	112.6399	112.5921	109.0655	118.4184	106.4688	113.8391	112.9273	112.8741	113.333	0.0153141021729
125.445	120.0575	113.6854	131.255	123.3403	117.0097	121.5763	126.761	116.5769	122.792	118.3884	118.3586	123.8119	124.9901	112.1377	114.8617	112.1209	113.8216	116.7642	115.8357	116.7113	123.2095	112.7912	117.7812	113.5317	117.5246	109.5346	113.399	113.9829	113.1722	114.2636	112.5889	112.7061	108.7991	118.3715	106.4688	113.8841	113.0316	113.1125	113.333	0.0282170772552
125.2143	119.9409	113.7375	131.255	123.1212	116.8973	121.5074	126.9334	116.5769	122.8581	118.3884	118.3105	124.0494	124.9901	111.96	114.9161	111.9603	113.8216	116.6446	115.7225	116.6587	123.2662	112.8535	117.7812	113.5317	117.4715	109.4208	113.4432	113.6934	113.187	114.2138	112.4709	112.6623	108.9455	118.3715	106.4688	113.8841	112.9273	112.9933	113.333	0.0420520305634
125.2143	120.0575	113.7375	131.316	123.2354	117.0097	121.5074	126.761	116.3525	122.7371	118.5036	118.4067	123.6432	124.9901	111.8934	114.8617	112.0757	113.8755	116.6949	115.8357	116.6587	123.4906	112.905	117.7232	113.5317	117.5246	109.4654	113.399	113.9209	113.1238	114.2138	112.4709	112.4346	108.8479	118.3715	106.4688	113.7685	112.9273	112.9933	113.333	0.0563781261444
125.276	119.9409	113.6854	131.255	123.1736	117.0576	121.5074	126.9334	116.5769	122.7371	118.3884	118.2917	124.0494	124.9274	112.1377	114.7456	112.0757	113.8216	116.6446	115.8825	116.7113	123.2095	112.905	117.6052	113.5317	117.5246	109.4654	113.399	114.0347	113.187	114.3758	112.3529	112.6623	109.0167	118.3715	106.4262	113.8841	113.1089	113.1125	113.2804	0.0699760913849
125.3912	120.1053	113.8551	131.4331	123.1212	117.0576	121.5074	126.814	116.348	122.8581	118.3884	118.2436	124.0494	124.9901	112.0155	114.9161	112.0305	113.8216	116.5943	115.7888	116.6587	123.2095	112.905	117.8393	113.4118	117.4715	109.693	113.5154	113.9209	113.284	114.3134	112.3529	112.4346	109.1855	118.3715	106.4262	113.8391	112.9273	112.941	113.3922	0.0844931602478
125.445	119.9409	113.6854	131.4331	123.1736	117.0097	121.5553	126.9334	116.4074	122.8581	118.3884	118.2436	123.8807	124.9901	112.0822	114.8617	111.9603	113.7029	116.7138	115.8825	116.6587	123.1529	112.9564	117.7812	113.5869	117.4715	109.5792	113.4432	114.0347	113.1722	114.2138	112.302	112.5484	108.8255	118.4184	106.4262	113.7685	112.9273	113.1125	113.3922	0.0972650051117
125.4988	120.0096	113.6854	131.255	123.1736	117.0097	121.6721	126.9334	116.3525	122.792	118.4527	118.4067	124.0494	124.9901	111.96	114.8617	111.9603	113.8216	116.5753	115.8357	116.6587	123.2095	112.905	117.9574	113.5317	117.5246	109.693	113.2827	113.8072	113.2355	114.2636	112.4709	112.7762	108.8967	118.3715	106.4688	113.8841	112.6414	112.941	113.2804	0.112014055252
125.2143	119.9409	113.6854	131.4331	123.2354	117.0097	121.5553	127.0395	116.5769	122.8581	118.3884	118.2917	123.9306	124.9274	112.1377	114.9161	112.0757	113.9294	116.8145	115.8357	116.7755	123.4339	112.905	117.7212	113.5317	117.6395	109.5346	113.2827	113.9209	113.1722	114.2636	112.5219	112.5921	109.1855	118.3246	106.4688	113.8391	112.7583	113.1125	113.2279	0.125486135483
125.4988	119.9409	113.9206	131.316	123.1736	117.0576	121.6242	127.0529	116.5218	122.8581	118.2867	118.4067	123.9306	124.9901	112.0155	114.9161	112.1209	113.9294	116.6949	115.8357	116.6061	123.4339	112.7912	117.6052	113.4118	117.4715	109.51	113.3268	113.9829	113.284	114.2636	112.42	112.5484	108.9455	118.2021	106.4688	113.7685	112.9273	113.0601	113.333	0.138746023178
125.445	119.9887	113.7375	131.372	123.226	117.0576	121.789	126.8804	116.4074	122.7371	118.5036	118.3586	123.9994	124.9901	111.9488	114.8617	112.1209	113.9943	116.5753	115.8357	116.6587	123.2095	112.9564	117.7812	113.5317	117.6395	109.51	113.4432	114.0347	113.284	114.2636	112.5889	112.5484	108.9455	118.4184	106.4688	113.8841	112.9273	112.9933	113.2804	0.152537107468
125.2143	119.9409	113.803	131.3771	123.1736	116.9452	121.4595	126.761	116.5218	122.4951	118.3884	118.2917	124.0494	124.9901	112.1377	114.8617	112.0305	113.9403	116.7452	115.8825	116.7755	123.4339	112.905	117.5472	113.5317	117.5246	109.5792	113.3268	114.0865	113.284	114.2138	112.6399	112.6623	108.8967	118.3715	106.5812	113.8841	112.9273	113.0601	113.2804	0.167303085327
125.445	119.9409	113.6854	131.372	123.0592	117.0576	121.5074	126.9334	116.293	122.6161	118.5036	118.3586	123.8119	124.9901	112.1377	115.1411	112.0757	114.0482	116.6949	115.9489	116.6587	123.0408	112.905	117.7232	113.5317	117.5778	109.4654	113.5596	114.0865	113.0753	114.4257	112.5219	112.6623	109.0655	118.3715	106.4688	113.8841	112.8752	113.1648	113.333	0.17945599556
125.3297	119.8931	113.8551	131.255	123.0592	117.0097	121.741	126.9865	116.4074	122.6161	118.3884	118.3586	123.9806	124.8646	112.0155	114.8617	112.0757	113.9294	116.8145	115.9489	116.6587	123.3217	112.7912	117.8993	113.5317	117.6395	109.5792	113.399	113.9727	113.284	114.2138	112.302	112.5921	109.0655	118.3715	106.5812	113.7685	112.9794	113.0601	113.333	0.194193124771
125.3834	119.8931	113.803	131.1939	123.0592	117.0576	121.6721	126.814	116.348	122.7371	118.3884	118.3105	124.0494	124.9901	112.1377	114.7456	112.0054	113.8755	116.6446	115.8357	116.7755	123.3784	112.905	117.9574	113.5317	117.5246	109.5346	113.5154	113.8072	113.284	114.2138	112.5889	112.7061	109.0167	118.3715	106.5812	113.8841	112.9273	113.0601	113.4448	0.208703041077
125.2143	119.9409	113.9206	131.1379	123.0592	117.0097	121.4595	126.9865	116.5218	122.7371	118.5036	118.4067	124.0494	124.9901	112.071	114.9161	112.2363	113.8755	116.5753	115.8357	116.6587	123.0974	112.905	117.7812	113.467	117.5246	109.5792	113.399	113.9829	113.2206	114.2636	112.538	112.7061	109.0167	118.3715	106.5812	113.7685	112.8752	112.9933	113.4448	0.221562147141
