s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
521	525	525	523	525	524	528	526	523	530	528	523	523	526	527	522	527	523	523	522	532	522	523	528	524	526	529	525	528	524	528	523	526	528	527	527	526	524	526	525	0.014976978302
521	526	525	521	524	524	526	526	524	531	528	521	523	525	527	525	527	522	522	524	530	523	523	527	523	525	528	525	528	523	527	525	525	527	526	526	525	525	526	525	0.0286419391632
521	524	525	523	524	524	527	526	523	530	527	523	521	526	527	522	527	522	522	523	530	522	524	528	525	525	527	523	529	525	527	524	525	526	527	526	525	526	526	523	0.0423889160156
521	525	525	523	524	523	528	526	523	530	529	523	522	526	528	522	527	522	522	522	532	523	523	528	522	525	527	524	528	523	528	523	526	528	527	526	526	526	527	525	0.0560300350189
521	525	524	523	525	523	527	526	523	531	528	523	523	526	528	522	527	524	524	522	531	523	524	528	524	526	528	524	528	523	529	523	526	527	525	527	526	526	526	525	0.0699200630188
521	525	525	524	525	524	528	526	524	530	527	522	522	525	527	523	527	523	524	523	530	523	523	528	525	526	528	524	528	524	528	524	525	527	526	528	526	524	526	525	0.0837659835815
522	525	525	523	525	523	527	526	521	530	528	522	523	527	527	524	527	522	524	524	531	522	524	528	525	526	527	524	529	523	527	523	525	527	526	527	524	525	526	524	0.0973110198975
521	525	526	523	526	523	527	525	524	529	528	523	523	525	528	524	527	523	524	523	531	522	523	528	523	526	528	523	528	523	526	524	526	528	526	526	525	526	527	526	0.111090898514
520	525	525	523	524	523	526	526	523	530	528	522	522	526	528	522	527	522	523	521	530	522	523	527	523	525	527	524	528	523	528	525	525	528	526	526	525	525	526	524	0.124915122986
521	524	525	523	525	523	527	526	523	530	527	522	525	526	527	523	527	523	522	523	530	523	523	527	522	525	529	524	528	523	529	523	525	528	526	527	524	526	527	526	0.138442993164
