s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
116.3431	112.6868	109.1821	115.5486	114.7296	108.8557	109.979	115.3408	107.1989	108.9115	107.9432	108.3481	111.2929	110.817	104.2658	105.2241	103.6215	106.1216	107.3764	105.0838	104.8192	108.7826	105.3471	107.0802	103.5865	103.2209	102.6838	105.3186	104.8261	102.5811	102.4614	102.9848	104.2939	102.289	104.6027	100.9738	103.6195	102.8183	102.3631	101.9759	0.0148050785065
116.0633	112.5708	109.1821	115.5486	114.7296	109.0122	109.8626	115.2702	107.2503	108.9828	107.9432	108.3041	111.1746	110.7003	104.3875	105.1084	103.8934	106.3418	107.3038	105.0838	104.9357	108.8944	105.2986	107.3155	103.706	103.0591	102.5703	105.3186	104.8261	102.5811	102.3496	102.8202	104.2939	102.2617	104.7661	101.0143	103.6603	102.6055	102.3631	101.9759	0.0286700725555
116.293	112.6157	109.2326	115.7198	114.7787	109.0122	109.8626	115.3408	107.1989	108.8623	107.8501	108.3041	111.0116	110.817	104.335	105.2241	103.7784	106.1725	107.3764	105.0838	105.0522	108.8944	105.2986	106.9625	103.5354	103.0591	102.415	105.4004	104.7781	102.537	102.3944	102.9379	104.4479	102.2155	104.6439	101.0143	103.6195	102.8183	102.4588	101.9759	0.0427601337433
116.2282	112.6157	109.283	115.6652	114.7296	108.9676	109.979	115.3892	107.1989	108.8623	107.8966	108.4186	111.2929	110.8741	104.3875	105.1734	103.7784	106.1216	107.3038	105.0838	104.8192	108.9961	105.3471	106.9726	103.6376	103.1063	102.4987	105.3186	104.8261	102.4257	102.3944	102.8671	104.3343	102.3813	104.5217	101.0143	103.6195	102.6536	102.3631	101.9759	0.0618491172791
116.2282	112.6157	109.2326	115.494	114.7296	108.9676	109.9059	115.2702	107.1363	108.8623	107.8501	108.3041	111.2482	110.817	104.3875	105.1734	103.8514	106.1889	107.3038	105.0415	104.8192	108.7826	105.2986	106.9625	103.6376	103.2209	102.6838	105.3186	104.8261	102.5811	102.5062	102.8671	104.1803	102.3813	104.5217	101.0143	103.5858	102.8183	102.4818	101.705	0.0756950378418
116.1633	112.6868	109.2326	115.5486	114.6648	108.9676	109.8626	115.3408	107.2503	108.8623	107.8966	108.4186	111.1746	110.6404	104.3875	105.0578	103.7784	106.2908	107.2573	104.971	104.8192	108.7826	105.3471	107.0802	103.5865	103.1736	102.4568	105.3186	104.7781	102.493	102.3273	102.7494	104.2207	102.2155	104.5217	100.8618	103.6603	102.8183	102.3631	101.7528	0.0894961357117
116.2282	112.3836	109.1658	115.5486	114.6157	109.0122	109.7895	115.3408	107.1363	108.9115	107.7819	108.3481	111.1746	110.7003	104.3875	105.1227	103.8514	106.2908	107.423	105.0838	104.771	108.9453	105.3471	106.9625	103.5865	103.1736	102.5703	105.3186	104.8261	102.5811	102.4392	102.8671	104.367	102.2155	104.6039	101.0143	103.6603	102.8664	102.4109	101.928	0.103222131729
116.1133	112.5708	109.1821	115.6031	114.8435	108.9676	109.8194	115.3408	107.2503	108.8623	107.8966	108.3041	111.2193	110.8741	104.3875	105.0578	103.8934	106.0541	107.3764	105.0838	104.9357	108.7826	105.2986	107.144	103.5354	103.1264	102.5703	105.3186	104.8914	102.537	102.4392	102.8671	104.4074	102.289	104.6439	100.9022	103.7011	102.7702	102.3631	101.7686	0.116829156876
116.293	112.5708	109.2326	115.6652	114.6805	109.0122	109.8626	115.3408	107.3643	109.0321	107.8966	108.3041	111.0116	110.817	104.2658	105.1734	103.6633	106.1216	107.3038	105.0838	104.9357	108.7826	105.3471	107.3155	103.5865	103.2209	102.5284	105.4755	104.8914	102.4696	102.3273	102.8671	104.2207	102.2155	104.7249	101.0143	103.6603	102.7497	102.3631	101.8644	0.130486011505
116.0133	112.6157	109.2326	115.5486	114.8435	108.9676	109.8626	115.1029	107.3643	108.813	107.8966	108.26	111.2193	110.7003	104.3875	105.1734	103.8514	106.1725	107.3764	105.1261	104.9839	108.9453	105.2986	107.0802	103.6548	103.2209	102.6419	105.3186	104.8261	102.5811	102.2825	102.8202	104.2939	102.3352	104.6851	100.9738	103.6603	102.7702	102.4818	101.8165	0.144335031509
