s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
501	505	505	503	506	507	511	510	508	514	514	509	509	514	515	513	517	513	514	513	522	514	514	518	515	516	520	517	520	516	522	515	518	521	520	522	520	518	521	518	0.0148460865021
502	505	505	503	506	506	511	509	507	515	514	510	509	514	515	513	516	511	513	513	522	514	515	518	515	517	520	517	520	516	522	516	518	519	519	521	519	520	521	518	0.0287230014801
502	504	504	502	505	506	511	510	508	515	516	510	510	514	516	513	516	512	514	513	522	514	515	518	516	517	521	515	521	517	521	516	517	520	519	521	520	518	519	518	0.0427961349487
501	504	503	503	506	507	511	509	508	515	515	510	509	513	515	514	516	513	513	513	522	512	514	520	514	516	519	517	520	517	521	515	517	519	519	521	520	519	521	518	0.061882019043
501	504	504	504	506	507	510	509	507	515	516	510	510	514	515	514	517	514	513	514	522	514	515	518	514	516	520	517	520	516	521	515	518	519	519	521	518	518	521	519	0.0757300853729
500	505	504	503	505	507	511	510	507	515	515	510	509	513	515	514	516	512	514	513	522	514	514	518	515	517	520	517	521	518	520	515	517	520	519	522	519	518	521	518	0.0895299911499
501	504	503	503	506	506	510	510	507	514	515	509	509	514	515	515	517	512	513	513	523	513	514	518	515	517	520	517	520	516	520	515	519	520	517	521	519	517	520	519	0.103258132935
501	505	505	502	506	507	512	510	507	515	515	510	508	513	515	514	516	512	514	513	522	514	515	519	516	518	520	517	521	517	520	515	518	521	519	521	518	519	521	520	0.11686706543
502	505	504	503	507	506	511	510	507	514	515	510	510	514	515	514	516	513	513	513	522	514	514	518	515	516	521	516	521	516	520	515	517	520	520	521	519	517	521	518	0.130522966385
503	504	504	503	506	507	511	510	507	516	515	511	508	514	515	514	517	512	514	512	521	513	515	518	516	516	521	517	520	516	521	516	518	520	518	522	519	519	521	519	0.144371032715
501	503	504	502	505	506	510	510	507	515	515	509	509	514	515	513	516	513	513	514	522	513	514	518	516	516	521	517	520	515	522	515	519	520	519	520	520	518	520	519	0.15794801712
501	504	503	503	506	507	509	509	507	514	515	510	511	514	515	514	515	513	514	513	522	513	514	518	515	517	520	517	521	516	520	516	517	520	521	522	519	517	520	519	0.171722173691
501	504	505	504	505	507	510	509	508	514	515	510	508	514	515	514	516	511	514	513	522	514	515	519	515	516	521	517	521	516	522	516	518	520	519	521	519	518	521	520	0.185470104218
500	503	503	502	505	506	510	510	507	515	516	511	510	513	515	514	517	512	514	513	522	513	514	518	517	516	520	517	521	516	521	515	518	520	519	521	520	518	520	518	0.199953079224
501	504	504	503	506	506	510	509	507	514	516	509	509	513	516	514	517	514	514	513	522	514	513	519	515	517	520	517	521	517	521	515	518	520	520	522	519	517	521	519	0.212849140167
501	504	504	504	505	506	510	510	507	515	514	509	510	513	515	514	515	511	513	513	522	514	513	519	514	517	521	517	520	517	520	516	518	520	520	520	519	517	520	520	0.226679086685
501	504	503	503	507	506	510	509	507	515	514	509	509	513	515	514	515	512	513	513	521	514	514	518	514	516	521	517	520	516	521	515	519	520	518	521	519	518	520	518	0.240438938141
501	503	504	503	506	506	510	510	507	515	515	510	510	515	515	513	517	512	513	513	522	514	513	518	516	516	520	517	520	516	520	515	518	520	519	520	520	517	521	518	0.254019021988
501	504	503	503	506	507	510	510	507	515	515	510	509	514	515	513	517	512	514	513	522	512	514	518	516	516	520	517	521	516	521	515	518	520	519	520	519	518	521	518	0.267893075943
501	503	504	503	505	507	511	509	507	514	516	509	509	515	514	513	517	513	515	513	521	514	514	518	516	516	520	517	520	516	521	516	518	520	520	520	518	517	520	519	0.281435966492
502	504	504	504	506	506	510	509	507	514	515	509	508	513	515	514	517	512	513	514	522	514	513	518	515	516	520	517	521	517	521	515	519	521	519	521	519	517	520	519	0.295252084732
501	504	503	503	506	506	511	509	507	515	515	509	508	514	515	514	516	512	513	513	521	513	514	519	516	516	520	517	520	517	521	515	517	520	519	520	519	518	520	519	0.308802127838
502	503	503	504	506	506	511	510	508	515	515	510	509	514	515	514	517	512	514	513	522	514	513	518	516	516	521	517	522	516	520	515	519	520	520	520	518	517	519	519	0.322818994522
501	504	504	503	505	506	510	509	507	515	515	509	509	514	515	514	516	511	513	513	521	512	514	518	516	517	520	517	520	516	521	515	519	520	518	521	518	517	520	518	0.336421966553
500	504	505	503	506	508	511	509	507	515	515	511	509	514	516	513	517	510	515	513	522	514	514	518	516	516	520	517	520	516	520	515	517	519	519	520	519	517	521	518	0.350023984909
501	504	502	502	505	507	510	510	507	514	515	509	509	515	516	514	515	513	512	513	522	514	513	518	515	516	520	517	521	516	521	515	517	520	518	521	519	518	521	518	0.363811016083
500	503	503	504	506	507	510	509	507	515	515	510	510	515	515	513	517	512	515	512	521	513	513	518	517	516	520	516	520	516	522	515	518	520	519	521	519	517	520	519	0.377381086349
501	502	504	502	506	506	510	509	507	515	515	509	511	515	516	513	515	512	512	513	522	514	514	518	517	517	519	515	520	517	521	516	517	520	517	520	519	517	521	518	0.391363143921
501	504	503	503	505	506	510	509	507	514	514	509	509	514	516	514	516	512	514	512	522	515	514	518	516	517	520	516	521	516	521	515	517	519	520	521	518	519	520	519	0.404924154282
502	503	503	503	506	506	511	510	507	514	514	509	510	514	515	513	516	512	513	514	521	512	513	518	515	516	520	516	520	516	521	515	517	520	519	520	519	518	520	518	0.418900966644
499	504	503	503	506	506	510	510	507	515	515	510	509	513	516	514	517	512	514	513	520	514	514	520	515	518	521	516	521	515	521	516	518	520	519	520	518	517	521	518	0.432423114777
500	504	503	504	505	507	511	509	507	515	515	509	509	514	515	514	516	511	514	513	522	514	514	518	515	516	519	515	520	517	520	515	518	520	519	522	518	518	521	519	0.44620513916
500	502	505	503	506	507	511	509	507	514	514	509	509	514	515	514	516	513	513	513	521	511	513	518	516	516	520	516	520	517	521	515	519	520	520	520	518	517	520	519	0.459774017334
501	505	504	503	505	507	511	508	506	515	514	509	508	514	515	513	516	512	513	513	521	513	514	518	517	517	520	516	522	517	521	515	517	520	518	520	520	517	521	519	0.473509073257
