s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
122.446	117.7491	112.6269	123.0044	120.6187	113.9294	116.2058	122.1726	112.1213	116.0298	113.8622	114.6793	118.7274	118.3032	109.5854	111.3806	108.6418	111.513	113.057	112.1684	111.1811	116.3138	110.4772	113.121	109.457	109.7252	106.8741	110.4478	110.3444	108.3197	108.4946	108.3602	110.299	106.6415	110.7297	104.3616	108.8292	108.0839	108.6029	107.3683	0.0147378444672
122.2258	117.6327	112.5752	122.6534	120.5559	113.9294	116.1602	122.4113	112.2357	116.0819	113.8133	114.8159	119.0126	118.3032	109.64	111.0956	108.7132	111.5787	113.0082	112.1231	111.1811	116.26	110.5909	113.357	109.5769	109.6104	106.8741	110.4908	110.3444	108.05	108.7189	108.4094	110.3418	106.6415	110.7297	104.291	108.6411	108.0337	108.6029	107.4185	0.0284309387207
122.5088	117.8656	112.4719	122.713	120.5559	113.995	116.2058	122.4113	112.2357	116.2029	113.9773	114.7477	118.7751	118.2432	109.64	111.2646	108.6856	111.6317	113.0082	111.9421	111.2317	116.3676	110.5909	113.239	109.2838	109.6104	106.9177	110.5641	110.3444	108.2733	108.6068	108.4781	110.1141	106.5695	110.6509	104.2493	108.8721	107.967	108.4838	107.4185	0.0429329872131
122.5088	117.7022	112.5752	122.8874	120.5559	113.976	116.2769	122.5307	112.2357	116.0819	113.8622	114.5862	118.7751	118.3032	109.64	111.2646	108.7571	111.46	113.057	111.9421	111.1148	116.3138	110.692	113.0087	109.457	109.6104	106.9177	110.4478	110.3444	108.1153	108.6715	108.3111	110.228	106.6894	110.6072	104.474	108.8292	108.1505	108.6029	107.4185	0.0554308891296
122.341	117.843	112.5752	122.8874	120.7215	114.0884	116.2058	122.4625	112.2357	116.0819	114.1905	114.7011	118.7751	118.4204	109.64	111.2116	108.8009	111.3414	113.0082	111.9421	111.2317	116.3138	110.5909	113.0649	109.457	109.7252	106.7604	110.4478	110.3575	108.3197	108.4473	108.2423	110.3418	106.6894	110.7297	104.3616	108.7137	108.2007	108.6533	107.5302	0.0696640014648
122.5088	117.7961	112.6269	122.7704	120.6701	113.8361	116.1602	122.2237	112.35	116.0298	113.8622	114.7011	119.1313	118.3032	109.6945	110.9797	108.7132	111.46	113.0082	112.01	111.1811	116.3676	110.5909	113.121	109.5234	109.6104	106.9879	110.4478	110.4078	108.1616	108.6068	108.3602	110.1852	106.6415	110.686	104.2493	108.7137	108.0839	108.6029	107.5803	0.0835208892822
122.5088	117.7491	112.5752	122.8299	120.7215	114.0417	116.1145	122.5307	112.289	116.1507	113.8622	114.7011	118.846	118.2432	109.64	111.2116	108.598	111.5787	113.0082	112.01	111.2317	116.3138	110.6414	113.0649	109.4036	109.7252	106.7604	110.4908	110.3444	108.1616	108.7189	108.3602	110.1141	106.6894	110.7297	104.4322	108.6709	108.0337	108.6029	107.5302	0.0971670150757
122.4563	117.6796	112.5752	122.8874	120.7215	114.0884	116.1602	122.5819	112.1213	116.2717	114.0263	114.7477	118.7751	118.2432	109.8295	111.0956	108.8009	111.5787	113.0082	111.8969	111.1811	116.3676	110.414	113.0649	109.2838	109.7751	106.8741	110.4478	110.3444	108.208	108.4946	108.2914	110.228	106.6894	110.7297	104.474	108.8292	107.9169	108.6029	107.5803	0.111223936081
122.5613	117.7022	112.6269	123.0044	120.5559	113.9294	116.1145	122.5307	112.1824	116.0298	114.0753	114.7943	118.8939	118.2432	109.64	111.0956	108.8009	111.6317	112.9594	111.9421	111.0644	116.26	110.7425	113.0649	109.5769	109.6603	106.8039	110.6071	110.2942	108.2733	108.7189	108.3602	110.1852	106.9772	110.6424	104.4034	108.7137	108.0839	108.4838	107.4686	0.124560832977
122.446	117.6796	112.5752	122.8874	120.7215	113.8828	116.3226	122.5819	112.35	116.0819	113.9601	114.8626	119.0126	118.3032	109.6945	111.2646	108.8724	111.46	113.057	111.8969	111.1811	116.3138	110.5782	113.0649	109.3372	109.7252	106.9177	110.4908	110.1303	108.3197	108.6715	108.3602	110.299	106.6415	110.686	104.474	108.7137	108.2007	108.6533	107.5302	0.138810873032
