s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
505	510	510	509	511	511	516	514	512	518	519	513	514	517	520	516	519	516	515	516	524	516	516	521	517	520	521	519	522	517	522	519	518	521	520	521	519	519	520	518	0.0148069858551
506	509	510	509	510	511	515	514	512	519	519	513	514	518	519	517	519	516	515	517	524	515	517	521	517	519	521	518	522	518	521	517	519	521	519	522	520	518	521	518	0.0286531448364
506	509	510	509	511	512	516	514	512	519	519	514	513	518	519	518	520	515	517	517	525	516	516	521	517	519	522	517	522	518	521	517	518	520	520	522	519	518	521	518	0.0423791408539
506	509	509	509	509	511	516	514	513	518	519	513	512	517	519	516	520	516	516	515	524	516	517	520	516	519	521	517	522	518	521	516	520	522	519	520	519	520	522	518	0.0582759380341
507	509	509	508	511	511	516	514	512	519	519	514	513	518	519	518	520	515	515	516	523	518	517	519	516	518	521	518	522	517	523	516	517	521	519	521	520	519	521	518	0.0722329616547
506	508	509	509	511	511	516	515	512	518	519	514	514	517	519	516	520	514	516	516	524	516	516	521	517	518	522	517	523	518	521	517	517	521	520	521	519	517	520	519	0.0860829353333
505	509	510	508	509	511	516	514	512	519	519	515	514	518	519	518	519	515	515	516	525	516	516	520	518	519	522	519	523	517	522	516	519	521	521	521	519	518	521	518	0.0999081134796
506	509	511	508	511	512	516	514	511	518	520	514	514	517	519	516	519	514	516	516	523	516	517	521	518	519	523	519	522	516	523	517	518	520	520	522	519	518	520	519	0.113609075546
505	509	510	507	509	511	516	514	512	518	519	514	512	517	519	516	520	514	516	515	523	516	517	520	517	518	521	518	522	516	523	517	520	520	520	519	518	518	521	518	0.127262115479
503	509	510	509	510	512	515	514	512	518	519	513	514	518	519	516	519	515	517	516	523	515	516	521	518	518	523	517	522	517	521	517	518	520	520	520	518	518	521	518	0.141185998917
