s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
121.88	117.2366	112.171	122.1307	119.9847	113.7239	115.7645	121.8829	112.007	115.8568	113.5832	114.4713	118.49	118.1261	109.4633	111.0427	108.6856	111.5787	112.8887	111.7158	111.0644	116.0358	110.3635	112.9469	109.164	109.6104	106.6902	110.4478	110.1303	107.9383	108.4473	108.1244	109.9576	106.5936	110.5636	104.1786	108.5555	107.8501	108.5342	107.3067	0.0148248672485
121.9429	117.2366	112.2226	122.1307	120.0478	113.7705	115.7645	121.8146	111.8926	115.7359	113.5832	114.4713	118.5132	117.8919	109.3957	110.9268	108.6418	111.3943	112.8887	111.6257	111.1148	116.1479	110.3507	112.9469	109.164	109.6104	106.6467	110.4049	110.1805	108.05	108.4946	108.1244	109.9576	106.5216	110.4847	104.1786	108.5983	107.8001	108.3648	107.3067	0.0286908149719
121.8277	117.2366	112.1195	121.9542	119.8705	113.7239	115.6934	121.8829	112.007	115.7879	113.7471	114.5862	118.4189	118.009	109.3957	111.0325	108.6418	111.513	112.7691	111.5577	110.7804	115.9821	110.5782	113.003	109.2173	109.6104	106.6467	110.4478	110.3444	107.9383	108.4946	108.1932	110.0714	106.6415	110.4847	104.0953	108.5983	107.8001	108.4838	107.3067	0.0423839092255
121.9429	117.1899	112.2226	122.188	120.0478	113.7239	115.6934	121.9339	111.9538	115.4768	113.632	114.3564	118.5609	117.8919	109.3413	111.1486	108.6418	111.5787	112.7691	111.6027	110.998	115.9774	110.414	112.829	109.164	109.6603	106.6467	110.4049	110.1303	107.8921	108.4473	108.2423	109.9576	106.5936	110.4847	104.2493	108.5983	107.8001	108.4334	107.4686	0.0561368465424
121.9429	117.353	112.1195	122.0711	119.9336	113.6117	115.8101	121.9339	111.9538	115.7879	113.5832	114.5178	118.3713	117.8919	109.4633	111.0427	108.7571	111.2228	112.6496	111.5577	110.998	116.0895	110.5782	112.829	109.164	109.4956	106.6467	110.4478	110.1805	108.05	108.5594	108.0754	110.0287	106.5216	110.4847	104.1659	108.7137	107.8001	108.4151	107.3067	0.0699260234833
121.88	117.2833	112.171	122.2452	120.099	113.6774	115.7645	121.8829	112.007	115.8568	113.7471	114.5178	118.49	118.009	109.5179	111.0956	108.6856	111.2228	112.8887	111.6708	110.8308	116.0895	110.4644	112.7729	109.164	109.6104	106.6032	110.4478	110.1805	107.9845	108.6715	108.1244	109.9576	106.5216	110.4847	104.0537	108.5983	108.134	108.3648	107.245	0.0838270187378
121.9953	117.2366	112.406	122.1283	119.9847	113.6117	115.7645	121.9339	112.007	115.7359	113.632	114.4713	118.4423	118.009	109.5724	111.1486	108.598	111.3943	112.7205	111.7158	111.1148	116.1479	110.2499	112.9469	109.2173	109.4457	106.6467	110.3316	110.2439	107.9383	108.6068	107.9376	109.9576	106.7373	110.4847	104.2076	108.5983	107.8001	108.4838	107.3067	0.0972549915314
121.9429	117.2833	112.2226	122.188	119.9336	113.7239	115.7645	121.8146	112.007	115.7879	113.8449	114.5644	118.4189	118.1261	109.5179	111.0956	108.7132	111.3414	112.7691	111.6027	111.0644	116.1479	110.3507	112.7729	109.1106	109.5605	106.6032	110.1724	110.1303	108.0962	108.7189	108.2914	109.9576	106.6415	110.4847	104.2076	108.5983	107.967	108.4151	107.3067	0.111382007599
121.9429	117.3063	112.1195	122.1307	119.8825	113.7239	115.7645	121.9339	112.007	115.8568	113.632	114.4713	118.3713	117.9517	109.5179	111.2646	108.7571	111.2228	112.7691	111.6027	111.0644	116.0895	110.4644	112.7729	109.1106	109.5605	106.7604	110.4908	110.0669	107.9845	108.4946	108.1932	110.1568	106.5216	110.4847	104.1659	108.8721	108.0337	108.3144	107.195	0.124649047852
121.9429	117.2366	112.406	122.1283	119.9847	113.7705	115.8101	122.0533	111.9538	115.6669	113.5832	114.4713	118.3946	117.9517	109.5179	110.9797	108.7571	111.3414	112.6496	111.5126	111.1148	116.2016	110.4644	112.7729	109.2173	109.6104	106.6467	110.5641	110.1805	108.0037	108.4473	107.8396	110.0003	106.6415	110.4412	104.291	108.5983	108.0839	108.4838	107.245	0.138969898224
122.0476	117.3998	112.171	122.2452	119.9336	113.7239	115.6479	122.0533	112.007	115.4941	113.632	114.5644	118.4423	117.8919	109.5724	111.0956	108.598	111.2228	112.8887	111.6708	110.9476	116.2016	110.414	112.8908	109.2173	109.6104	106.6902	110.4478	110.1303	108.0037	108.6068	108.2423	109.7301	106.6415	110.4847	104.2493	108.5555	107.8501	108.4334	107.245	0.152281045914
121.9429	117.353	112.2885	122.188	120.099	113.6774	115.8101	121.9339	112.007	115.4941	113.5832	114.3564	118.3713	118.1261	109.5179	111.0956	108.7132	111.2228	113.0082	111.6708	110.8308	116.0358	110.3003	112.885	109.2173	109.6104	106.6467	110.4478	110.1805	108.0037	108.6715	108.2423	110.0714	106.6415	110.3976	104.2493	108.7137	107.967	108.4838	107.4185	0.16600394249
121.9953	117.2833	112.171	122.188	119.9847	113.6582	115.6934	121.8146	111.8395	115.615	113.6982	114.4713	118.4189	117.8919	109.5179	111.1486	108.6418	111.3414	112.7691	111.5577	111.1148	116.0895	110.5277	113.0649	109.164	109.6104	106.7604	110.4478	110.3444	108.0037	108.5594	108.1932	110.0714	106.6415	110.4847	104.2493	108.6411	107.967	108.5342	107.195	0.179813861847
121.9429	117.1899	112.1195	122.188	120.099	113.6582	115.8101	121.9339	111.9538	115.615	113.6809	114.4248	118.4423	118.009	109.3957	110.8637	108.6418	111.46	112.7691	111.6257	110.998	116.0895	110.3003	112.8908	109.2173	109.6104	106.7604	110.4049	110.1805	108.0037	108.3825	108.2423	109.915	106.6415	110.5636	104.137	108.7137	107.967	108.4838	107.4185	0.193624019623
121.8277	117.2366	112.2226	122.188	120.2132	113.6774	115.7645	121.9339	111.9538	115.6319	113.632	114.4713	118.5377	118.0662	109.5179	111.0427	108.7132	111.3414	112.7691	111.7158	110.998	115.9237	110.414	113.003	109.2173	109.5454	106.6032	110.3744	110.2942	108.0962	108.6068	108.2423	109.7726	106.7373	110.4847	104.1786	108.5983	107.8501	108.4838	107.3067	0.207463026047
121.9429	117.2833	112.3401	122.188	120.099	113.6582	115.7645	122.0533	112.007	115.7359	113.632	114.5178	118.4423	117.8919	109.3957	111.1486	108.7571	111.3414	112.8887	111.7158	111.0644	116.2016	110.3635	113.003	109.2173	109.6104	106.6467	110.2887	110.1805	108.1425	108.4946	108.1932	110.1141	106.7373	110.4847	104.0953	108.7137	107.967	108.5342	107.195	0.220996856689
121.8277	117.2366	112.4577	122.3622	119.9336	113.6117	115.7645	121.9339	112.007	115.7359	113.7471	114.5862	118.4189	118.186	109.5179	111.1486	108.7132	111.3943	112.7691	111.6027	111.1148	116.0358	110.4644	113.0649	109.2173	109.6104	106.7604	110.4478	110.2942	108.1616	108.4946	108.2423	110.1568	106.6415	110.4412	104.2076	108.5983	107.8501	108.4334	107.4185	0.234956026077
