s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
512	515	516	514	516	517	521	520	516	524	524	519	519	523	525	521	525	520	519	521	529	521	521	525	521	522	527	523	526	522	526	521	523	525	525	525	523	523	524	522	0.0149278640747
512	515	516	514	517	517	520	520	517	525	524	519	519	522	524	521	523	521	521	521	529	521	522	525	520	524	527	522	526	521	525	522	523	524	524	525	524	523	522	522	0.0286779403687
512	515	516	515	516	516	521	520	518	524	524	520	519	522	524	522	524	520	520	521	530	519	520	526	522	523	527	521	526	521	527	522	524	525	525	526	524	523	524	523	0.0424308776855
512	514	515	514	517	517	520	520	517	526	524	518	520	523	524	521	524	520	521	521	528	519	522	525	521	524	526	522	527	521	526	520	522	525	525	524	524	521	523	523	0.0562069416046
512	515	517	514	517	517	520	518	517	526	524	518	519	523	524	521	523	521	522	520	529	520	522	523	522	523	526	521	526	522	527	520	523	525	525	525	524	523	523	525	0.0697388648987
512	515	516	514	517	516	520	520	517	525	523	519	518	523	523	521	525	520	520	521	529	519	521	525	521	524	525	522	526	521	527	521	523	524	523	524	524	523	525	524	0.0835299491882
512	515	516	514	516	517	521	520	517	524	524	519	519	523	523	522	524	519	521	521	529	520	520	523	522	524	525	522	526	521	525	520	523	525	525	526	524	523	524	522	0.0972919464111
511	515	515	514	517	517	521	519	518	524	525	519	519	521	524	522	523	520	520	520	528	519	522	526	521	523	526	523	526	521	525	520	523	525	525	525	524	524	524	522	0.110832929611
512	515	515	514	517	518	520	520	517	525	524	519	519	522	524	521	523	520	521	520	529	519	520	525	520	522	527	521	526	520	525	520	522	524	525	526	523	522	523	522	0.12465596199
512	515	516	515	517	518	520	519	518	525	524	519	520	522	524	522	523	521	521	518	529	519	520	525	522	522	526	522	526	521	526	520	522	525	524	526	523	522	523	523	0.138357877731
