s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
118.6664	118.4814	115.2409	128.1297	124.4856	114.599	120.9055	128.9221	120.8701	119.7912	114.1256	115.3787	122.759	123.8243	110.808	112.006	114.7954	113.4112	116.0223	113.5181	113.3384	122.0845	109.557	118.4354	111.2443	114.9332	107.5203	113.1176	113.0017	111.4481	108.7223	115.2514	109.063	115.9195	117.6766	106.3948	113.2235	112.3292	107.7567	110.8986	0.0147621631622
118.6153	118.5289	115.2409	128.246	124.5389	114.599	120.9534	128.9221	120.8701	119.7373	114.1256	115.3787	122.641	123.7617	110.8633	111.9525	114.7954	113.5294	116.0223	113.4721	113.3384	122.1409	109.5067	118.5529	111.2443	114.9855	107.8607	113.1618	113.115	111.4002	108.8817	115.3562	109.0207	116.039	117.9678	106.4642	113.2938	112.4978	107.7065	111.0101	0.0285949707031
118.6153	118.5289	115.0071	128.246	124.5993	114.6635	120.6733	128.9221	120.7564	119.7373	114.1256	115.446	122.9269	123.8783	110.8633	111.899	114.6341	113.5834	115.9218	113.4721	113.2869	122.0845	109.557	118.5529	111.2443	114.9855	107.5898	113.09	113.115	111.4002	108.8817	115.4738	109.063	115.9714	117.7987	106.3521	113.2235	112.148	107.7065	111.0101	0.0423440933228
118.6153	118.5289	115.177	128.246	124.5922	114.599	120.7894	128.6846	120.813	119.7912	114.011	115.4931	122.8585	123.8243	110.7418	112.006	114.6341	113.5294	115.9721	113.5642	113.222	122.0845	109.3934	118.6115	111.4182	114.9855	107.6338	113.206	113.115	111.4002	108.8817	115.4086	108.9783	115.748	117.8456	106.4375	113.2235	112.0441	107.5376	111.0101	0.0582420825958
118.5641	118.5289	115.0601	128.3061	124.5993	114.599	120.7894	128.8033	120.8701	119.7373	114.1256	115.3316	122.8088	123.9949	110.7418	111.899	114.7489	113.7016	116.0223	113.5181	113.2734	121.9716	109.5067	118.6702	111.2987	115.0378	107.6338	113.0459	113.115	111.4481	108.8982	115.2909	109.219	115.7999	117.9678	106.5069	113.1786	112.096	107.7065	110.8986	0.0721981525421
118.6153	118.5764	115.177	128.246	124.5993	114.599	120.7894	128.6305	120.8701	119.7912	114.1256	115.446	122.8771	124.0576	110.7418	112.006	114.5193	113.5192	115.9721	113.5181	113.222	122.0845	109.557	118.4354	111.2443	115.0378	107.5898	113.206	112.8369	111.4002	108.8817	115.3562	109.1054	115.9195	117.6766	106.3948	113.3387	112.1999	107.6379	110.9584	0.0860481262207
118.6664	118.5289	115.0071	128.3061	124.7059	114.7107	120.7894	128.9221	120.8701	119.7373	114.1256	115.2845	122.8771	123.7617	110.9849	111.899	114.7954	113.5834	116.0223	113.5181	113.2869	122.0845	109.557	118.6115	111.3092	115.1	107.5898	113.1176	113.0634	111.4481	108.8341	115.5262	109.1342	115.9195	117.8741	106.3948	113.3387	112.148	107.7065	111.0101	0.0998730659485
118.6153	118.5289	115.0709	128.3061	124.5993	114.6635	120.7894	128.8033	120.9272	119.7912	114.0763	115.3316	122.759	123.9409	110.9849	112.006	114.6805	113.6374	115.9721	113.5181	113.3899	122.0845	109.5067	118.5529	111.3092	114.9855	107.6592	113.0017	113.115	111.4959	108.7865	115.3562	109.1766	115.9714	117.9209	106.3521	113.3387	112.148	107.7567	110.9584	0.113573074341
118.7811	118.6447	115.0071	128.3663	124.5922	114.599	120.6733	128.9221	120.8701	119.7912	114.1256	115.446	122.9767	124.0576	110.9849	112.006	114.6341	113.6374	115.9721	113.6769	113.2734	122.0845	109.5067	118.6115	111.2443	115.0378	107.7473	113.2778	113.115	111.4959	108.8982	115.4738	108.9783	115.9714	117.9209	106.368	113.3836	112.148	107.7065	111.1216	0.127226114273
118.654	118.5289	115.0071	128.246	124.5389	114.5518	120.8373	128.8033	120.8701	119.7912	114.1256	115.3787	122.641	123.9949	110.8633	112.1216	114.6805	113.7016	116.1597	113.4055	113.3899	122.1409	109.557	118.5529	111.1899	115.0378	107.6592	113.206	113.115	111.3367	108.9936	115.2386	109.063	116.091	117.9209	106.5496	113.3836	112.3812	107.7065	110.8986	0.141145944595
