s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
123.4935	119.2843	112.8898	134.111	137.2299	116.4002	120.5255	125.0371	114.9258	132.9659	117.8261	117.9466	122.9308	123.3414	116.4781	114.6839	112.2363	113.638	116.0967	119.4577	117.0093	123.546	112.905	117.7212	117.846	118.3825	110.0345	113.7923	114.2522	119.147	115.2615	113.2302	112.9339	109.2344	126.2649	107.1862	115.5932	125.2001	119.2442	123.2843	0.0146880149841
123.3253	118.9352	112.8242	133.7603	137.1158	116.128	120.4306	125.1564	115.2089	133.3262	117.8768	117.8987	122.9308	123.3414	116.4781	114.6839	112.1911	113.649	115.9966	119.4577	116.9451	123.7164	112.905	117.6031	117.846	118.2676	110.0793	113.7923	114.0347	119.4217	115.3738	113.2815	112.9339	109.0655	126.2147	107.2987	115.3163	125.2001	119.2442	123.7335	0.0285370349884
123.4935	118.9827	112.7586	133.815	137.1158	116.1756	120.4781	125.2758	115.1544	133.2076	117.8261	117.7837	122.8813	123.2793	116.4781	114.8617	112.2363	113.5842	116.336	119.4093	117.062	123.6028	112.905	117.7212	117.903	118.321	109.9654	113.748	114.2003	119.4313	115.2615	113.2302	112.9339	109.0655	126.2649	107.1862	115.5476	124.906	119.125	123.6766	0.0421969890594
123.1573	119.0516	112.8761	133.6981	137.0575	116.2232	120.5255	125.1564	115.2089	133.2052	117.8261	117.8508	122.9308	123.2863	116.5354	114.8	112.1911	113.5842	116.0467	119.4093	117.062	123.546	112.905	117.7212	117.903	118.329	110.0793	113.8366	114.0865	119.3706	115.3117	113.0452	112.9778	108.9943	126.2147	107.1862	115.3863	125.1402	119.2442	123.6215	0.056184053421
123.3253	119.1466	112.7724	134.1734	137.344	116.2402	120.5255	125.0371	115.1544	132.9659	117.8261	117.6209	122.9308	123.2793	116.5354	114.7456	112.2363	113.5304	116.2858	119.4577	116.9451	123.6596	112.905	117.7812	117.9659	118.436	109.9654	113.7923	114.2003	119.4313	115.424	113.1633	112.9339	109.1143	126.2649	107.1862	115.5476	125.143	119.2442	123.6215	0.0696620941162
123.2724	119.1679	112.9936	134.0487	137.2299	116.1926	120.4781	125.2758	115.0946	133.0867	117.8768	117.8508	122.9308	123.1071	116.4781	114.8617	112.2363	113.4766	115.9966	119.4577	117.062	123.6028	113.0188	117.8393	117.846	118.436	109.9654	113.9087	114.2003	119.4824	115.2113	113.2302	112.9778	109.2344	126.2147	107.1862	115.4319	125.2001	119.1893	123.5096	0.083888053894
123.263	119.0516	112.9417	133.6981	137.0599	116.2402	120.5255	125.171	115.2089	133.146	117.8768	117.7358	123.0992	123.2242	116.4781	114.6839	112.1911	113.7567	116.0967	119.4577	116.8924	123.6028	113.0188	117.7212	117.7262	118.329	110.0102	113.7923	114.2003	119.4919	115.424	113.1122	113.0918	108.9943	126.2649	107.1862	115.3163	125.2001	119.3634	123.6215	0.0976510047913
123.3253	119.0516	112.9417	133.6981	137.1158	116.2232	120.4781	125.1564	115.0946	132.9659	117.9919	117.7837	122.9804	123.3414	116.3634	114.7383	112.2363	113.649	116.336	119.4577	116.8924	123.6028	113.0188	117.8393	117.846	118.3825	109.9654	113.8366	114.2003	119.5431	115.3117	113.2815	112.9778	109.1855	126.2147	107.1862	115.4776	125.2001	119.3634	123.5648	0.111228942871
123.2724	119.0991	112.7724	133.815	137.1158	116.1756	120.5255	125.1564	115.1544	132.9659	117.8768	117.8508	122.8121	123.4035	116.4781	114.8	112.3065	113.8216	116.2858	119.4577	116.8924	123.6028	113.0188	117.7812	117.846	118.3825	110.1241	113.7923	114.1484	119.4824	115.2113	113.2302	112.82	109.1143	126.3372	107.1862	115.4776	125.2572	119.3634	123.508	0.125020980835
123.2724	119.2155	112.9417	133.9318	137.1158	116.128	120.4781	125.1564	115.1544	133.146	117.8261	117.7358	122.9308	123.3414	116.4781	114.8	112.1911	113.7567	115.9966	119.4577	116.8924	123.546	112.9564	117.7812	117.846	118.321	110.0793	113.7923	114.2003	119.4824	115.1492	113.2302	112.9778	109.1143	126.2147	107.1165	115.5932	124.9661	119.2442	123.341	0.138648986816
